Epi_week,Category,OROV_INC
2020_42,National,0.000492415
2020_42,Rural,0
2020_42,Urban,0.000563354
2020_43,National,0
2020_43,Rural,0
2020_43,Urban,0
2020_44,National,0
2020_44,Rural,0
2020_44,Urban,0
2020_45,National,0
2020_45,Rural,0
2020_45,Urban,0
2020_46,National,0.000492415
2020_46,Rural,0.003910475
2020_46,Urban,0
2020_47,National,0
2020_47,Rural,0
2020_47,Urban,0
2020_48,National,0
2020_48,Rural,0
2020_48,Urban,0
2020_49,National,0
2020_49,Rural,0
2020_49,Urban,0
2020_50,National,0.000492415
2020_50,Rural,0
2020_50,Urban,0.000563354
2020_51,National,0.000492415
2020_51,Rural,0
2020_51,Urban,0.000563354
2020_52,National,0
2020_52,Rural,0
2020_52,Urban,0
2020_53,National,0
2020_53,Rural,0
2020_53,Urban,0
2021_01,National,0.00196966
2021_01,Rural,0
2021_01,Urban,0.002253414
2021_02,National,0
2021_02,Rural,0
2021_02,Urban,0
2021_03,National,0
2021_03,Rural,0
2021_03,Urban,0
2021_04,National,0.000492415
2021_04,Rural,0
2021_04,Urban,0.000563354
2021_05,National,0.013787619
2021_05,Rural,0
2021_05,Urban,0.0157739
2021_06,National,0.020189013
2021_06,Rural,0
2021_06,Urban,0.023097496
2021_07,National,0.024620747
2021_07,Rural,0
2021_07,Urban,0.028167678
2021_08,National,0.028067652
2021_08,Rural,0
2021_08,Urban,0.032111153
2021_09,National,0
2021_09,Rural,0
2021_09,Urban,0
2021_10,National,0.004924149
2021_10,Rural,0
2021_10,Urban,0.005633536
2021_11,National,0.011325544
2021_11,Rural,0
2021_11,Urban,0.012957132
2021_12,National,0.007386224
2021_12,Rural,0
2021_12,Urban,0.008450304
2021_13,National,0.00295449
2021_13,Rural,0
2021_13,Urban,0.003380121
2021_14,National,0
2021_14,Rural,0
2021_14,Urban,0
2021_15,National,0.00196966
2021_15,Rural,0
2021_15,Urban,0.002253414
2021_16,National,0.00098483
2021_16,Rural,0.003910475
2021_16,Urban,0.000563354
2021_17,National,0
2021_17,Rural,0
2021_17,Urban,0
2021_18,National,0
2021_18,Rural,0
2021_18,Urban,0
2021_19,National,0.000492415
2021_19,Rural,0
2021_19,Urban,0.000563354
2021_20,National,0.001477245
2021_20,Rural,0.003910475
2021_20,Urban,0.001126707
2021_21,National,0.00098483
2021_21,Rural,0
2021_21,Urban,0.001126707
2021_22,National,0
2021_22,Rural,0
2021_22,Urban,0
2021_23,National,0
2021_23,Rural,0
2021_23,Urban,0
2021_24,National,0.00098483
2021_24,Rural,0.003910475
2021_24,Urban,0.000563354
2021_25,National,0.00196966
2021_25,Rural,0
2021_25,Urban,0.002253414
2021_26,National,0.001477245
2021_26,Rural,0
2021_26,Urban,0.001690061
