Epi_week,Category,OROV_cases
2023_21,Rural,1
2023_21,Urban,4
2023_22,Rural,6
2023_22,Urban,4
2023_23,Rural,1
2023_23,Urban,0
2023_24,Rural,0
2023_24,Urban,7
2023_25,Rural,0
2023_25,Urban,2
2023_26,Rural,2
2023_26,Urban,8
2023_27,Rural,1
2023_27,Urban,4
2023_28,Rural,3
2023_28,Urban,2
2023_29,Rural,12
2023_29,Urban,3
2023_30,Rural,9
2023_30,Urban,5
2023_31,Rural,7
2023_31,Urban,11
2023_32,Rural,21
2023_32,Urban,12
2023_33,Rural,29
2023_33,Urban,4
2023_34,Rural,13
2023_34,Urban,13
2023_35,Rural,16
2023_35,Urban,10
2023_36,Rural,20
2023_36,Urban,4
2023_37,Rural,4
2023_37,Urban,6
2023_38,Rural,3
2023_38,Urban,2
2023_39,Rural,0
2023_39,Urban,2
2023_40,Rural,2
2023_40,Urban,4
2023_41,Rural,1
2023_41,Urban,6
2023_42,Rural,3
2023_42,Urban,5
2023_43,Rural,1
2023_43,Urban,6
2023_44,Rural,7
2023_44,Urban,3
2023_45,Rural,5
2023_45,Urban,5
2023_46,Rural,2
2023_46,Urban,4
2023_47,Rural,11
2023_47,Urban,9
2023_48,Rural,14
2023_48,Urban,26
2023_49,Rural,7
2023_49,Urban,31
2023_50,Rural,24
2023_50,Urban,77
2023_51,Rural,35
2023_51,Urban,101
2023_52,Rural,53
2023_52,Urban,106
2024_01,Rural,81
2024_01,Urban,169
2024_02,Rural,133
2024_02,Urban,213
2024_03,Rural,106
2024_03,Urban,281
2024_04,Rural,143
2024_04,Urban,410
2024_05,Rural,166
2024_05,Urban,387
2024_06,Rural,226
2024_06,Urban,286
2024_07,Rural,123
2024_07,Urban,176
2024_08,Rural,231
2024_08,Urban,244
2024_09,Rural,313
2024_09,Urban,173
2024_10,Rural,265
2024_10,Urban,147
2024_11,Rural,237
2024_11,Urban,172
2024_12,Rural,232
2024_12,Urban,165
2024_13,Rural,125
2024_13,Urban,93
2024_14,Rural,182
2024_14,Urban,104
2024_15,Rural,183
2024_15,Urban,109
2024_16,Rural,203
2024_16,Urban,91
2024_17,Rural,165
2024_17,Urban,74
2024_18,Rural,119
2024_18,Urban,89
2024_19,Rural,135
2024_19,Urban,110
2024_20,Rural,192
2024_20,Urban,89
2024_21,Rural,212
2024_21,Urban,79
2024_22,Rural,133
2024_22,Urban,58
2024_23,Rural,110
2024_23,Urban,67
2024_24,Rural,190
2024_24,Urban,69
2024_25,Rural,95
2024_25,Urban,42
2024_26,Rural,66
2024_26,Urban,38
2024_27,Rural,132
2024_27,Urban,105
2024_28,Rural,152
2024_28,Urban,83
2024_29,Rural,106
2024_29,Urban,59
2024_30,Rural,31
2024_30,Urban,48
2024_31,Rural,60
2024_31,Urban,40
2024_32,Rural,61
2024_32,Urban,35
2024_33,Rural,50
2024_33,Urban,35
2024_34,Rural,30
2024_34,Urban,19
2024_35,Rural,14
2024_35,Urban,16
2024_36,Rural,14
2024_36,Urban,5
2024_37,Rural,17
2024_37,Urban,6
2024_38,Rural,18
2024_38,Urban,4
2024_39,Rural,12
2024_39,Urban,1
2024_40,Rural,16
2024_40,Urban,9
2024_41,Rural,15
2024_41,Urban,4
2024_42,Rural,46
2024_42,Urban,7
2024_43,Rural,73
2024_43,Urban,7
2024_44,Rural,128
2024_44,Urban,19
2024_45,Rural,257
2024_45,Urban,25
2024_46,Rural,307
2024_46,Urban,32
2024_47,Rural,444
2024_47,Urban,59
2024_48,Rural,594
2024_48,Urban,133
2024_49,Rural,605
2024_49,Urban,139
2024_50,Rural,621
2024_50,Urban,151
2024_51,Rural,701
2024_51,Urban,156
2024_52,Rural,508
2024_52,Urban,147
2025_01,Rural,528
2025_01,Urban,164
2025_02,Rural,793
2025_02,Urban,234
2025_03,Rural,816
2025_03,Urban,234
2025_04,Rural,712
2025_04,Urban,256
2025_05,Rural,694
2025_05,Urban,300
2025_06,Rural,516
